Census year,Persons,Males,Females,Sex Ratio
1961,336558,177680,158878,894
1971,467511,251231,216280,861
1981,631839,339322,292517,862
1991,864558,465004,399554,859
2001,1097968,579941,518027,893
2011,1383727,713912,669815,938
Predicted Values,,,,
2021,1533020,800479,732541,915
2031,1743304,908849,834455,918
2041,1953588,1017220,936368,921
2051,2163872,1125591,1038281,922
