Census year,Persons,Males,Females,Sex Ratio
1901,13882,6728,7154,1063
1911,14555,7325,7230,987
1921,13637,6727,6910,1027
1931,16040,8045,7995,994
1941,18355,9096,9259,1018
1951,21035,10295,10740,1043
1961,24108,11935,12173,1020
1971,31810,16078,15732,978
1981,40249,20377,19872,975
1991,51707,26618,25089,943
2001,60650,31131,29519,948
2011,64473,33123,31350,946
Predicted Values,,,,
2021,62746,32170,30576,950
2031,67649,34716,32933,949
2041,72553,37262,35291,947
2051,77456,39808,37648,946
